Field Name,Label,Type,Required,Unique,Picklist Values
WOD_2__Degradation_Modifier__c,Degradation Modifier,percent,False,False,
WOD_2__Delay_Reason__c,Delay Reason,textarea,False,False,
WOD_2__Description__c,Description,textarea,False,False,
WOD_2__Duplicate_Claim__c,Duplicate Claim,reference,False,False,
WOD_2__End_Time__c,End Time,time,False,False,
WOD_2__External_ID__c,External ID,string,False,True,
WOD_2__Fault_Code_Comment__c,Symptom Description,textarea,False,False,
WOD_2__Fault_Code__c,Defect Code,reference,False,False,
WOD_2__Fault_Found__c,Fault Found,picklist,False,False,"Broken, Leaking, Alignment, Crack"
WOD_2__Fault_Location__c,Object Code,reference,False,False,
WOD_2__Field_Modification_Edited__c,Field Modification Edited,boolean,True,False,
WOD_2__Goodwill_Reason__c,Goodwill Reason,picklist,False,False,"Out of Warranty, Goodwill - Other"
WOD_2__Host_NonHost__c,Host-NonHost,picklist,False,False,Installed on OEM machine
WOD_2__In_Approval_Process__c,In Approval Process,boolean,True,False,
WOD_2__Internal_Comments__c,Internal Comments,textarea,False,False,
WOD_2__Inventory__c,Inventory,reference,False,False,
WOD_2__Invoice_Number__c,Invoice Number,string,False,False,
WOD_2__Is_Claim_Financial_Created__c,Is Claim Financial Created,boolean,True,False,
WOD_2__Is_Claim_Financial_Edited__c,Is Claim Financial Edited,boolean,True,False,
WOD_2__Is_Pre_Authorization_Required__c,Pre-Authorization Required,boolean,True,False,
WOD_2__Is_Repair_Completed__c,Repair Completed,picklist,False,False,"Yes, No"
WOD_2__Is_Template__c,Is Template,boolean,True,False,
WOD_2__Model_Number__c,Model Number,reference,False,False,
WOD_2__Override_Part_Payment_Condition__c,Override Part Payment Condition,boolean,True,False,
WOD_2__Override_Policy__c,Override Policy,boolean,True,False,
WOD_2__Part_Description__c,Part Description,textarea,False,False,
WOD_2__Part_Serial_Number__c,Part Serial Number,string,False,False,
WOD_2__Part__c,Part,reference,False,False,
WOD_2__Pre_Authorization_Comments__c,Pre-Authorization Comments,textarea,False,False,
WOD_2__Pre_Authorization_Reason__c,Pre-Authorization Reason,picklist,False,False,"Emissions, Goodwill, Major Parts Replacement, Third party cost"
WOD_2__Pre_Authorization_Status__c,Pre Authorization Status,picklist,False,False,"Pre-Authorization Pending Submission, Pre-Authorization Pending Approval, Pre-Authorization Approved, Pre-Authorization Rejected"
WOD_2__Rate__c,Rate,reference,False,False,
WOD_2__Reopen_Description__c,Reopen Description,textarea,False,False,
WOD_2__Reopen_Reason__c,Reopen Reason,picklist,False,False,"Others, Dealer appeal, KUBOTA adjudicator mistake/change of decision, Requested parts not been returned"
WOD_2__Request_SMR__c,Request SMR,boolean,True,False,
WOD_2__SMR_Reason__c,SMR Reason,picklist,False,False,"CLAIM FILED BEYOND ALLOWABLE TIME FRAME, EXPERIMENTAL UNIT OWNED BY TK CORP, PRE-AUTHORIZED REPAIR (AUTHORIZATION # REQUIRED), REFILING AT REQUEST OF A WARRANTY ANALYST, REPAIR MADE PRIOR TO UNIT SALE / REGISTRATION, REQUIRED PARTS ARE NOT AVAILABLE FOR RETURN, SERVICE MGR REVIEW REQUIRED, THIRD PARTY REPAIR, UNIT MODIFICATION, WRONGFUL BILLING TO SVC / CUSTOMER"
WOD_2__Service_Ticket__c,Service Ticket,string,False,False,
WOD_2__Start_Time__c,Start Time,time,False,False,
WOD_2__Submit_Date__c,Submit Date,date,False,False,
WOD_2__Submitted_By__c,Submitted By,reference,False,False,
WOD_2__Total_Handling_Cost__c,Total Handling Cost,currency,False,False,
WOD_2__Total_Landing_Cost__c,Total Landing Cost,currency,False,False,
WOD_2__Tr_Fault_Code_Comment__c,Translated Fault Code Comments,textarea,False,False,
WOD_2__Tr_Probable_Cause__c,Translated Probable Cause,textarea,False,False,
WOD_2__Tr_Work_Performed_Comments__c,English Remedy Description,textarea,False,False,
WOD_2__Units_Usage__c,Usage,double,False,False,
WOD_2__Upcoming_Completed_Schedule__c,Upcoming/Completed Schedule,reference,False,False,
WOD_2__Warranty_Product__c,Warranty Product,reference,False,False,
WOD_2__Work_Order__c,Internal Dealer Reference,string,False,False,
WOD_2__Work_Performed_Comments__c,Remedy Description,textarea,False,False,
WOD_2__Applicable_Coverage_Ids__c,Applicable Coverage Ids,textarea,False,False,
WOD_2__Auto_apply__c,Auto-apply,boolean,True,False,
WOD_2__Claim_Repair_Index__c,Claim Repair Index,double,False,False,
WOD_2__Fault_Code_Name__c,Fault Code Name,string,False,False,
WOD_2__Fault_Location_Name__c,Fault Location Name,string,False,False,
WOD_2__Handling_Upper_Limit_Cost__c,Handling Upper Limit Cost,currency,False,False,
WOD_2__Is_Multi_Repair__c,Multi Repair,boolean,True,False,
WOD_2__Is_OTC__c,OTC,boolean,True,False,
WOD_2__Labor_Units__c,Labor Units,picklist,False,False,"Hours, Minutes"
WOD_2__Labor_Upper_Limit_Cost__c,Labor Upper Limit Cost,currency,False,False,
WOD_2__Labor_Upper_Limt_Unit__c,Labor Upper Limit Unit,double,False,False,
WOD_2__Landing_Upper_Limit_Cost__c,Landing Upper Limit Cost,currency,False,False,
WOD_2__Other_Cost_Upper_Limit_Cost__c,Other Cost Upper Limit Cost,currency,False,False,
WOD_2__Overall_Upper_Limit_Cost__c,Overall Upper Limit Cost,currency,False,False,
WOD_2__Part_Upper_Limit_Cost__c,Part Upper Limit Cost,currency,False,False,
WOD_2__Pre_Authorization__c,Pre-Authorization,reference,False,False,
WOD_2__Received_Date__c,Received Date,date,False,False,
WOD_2__Related_Business_Unit__c,Related Business Unit,string,False,False,
WOD_2__Related_Record_Id__c,Related Record Id,string,False,False,
WOD_2__Related_Record_Name__c,Related Record Name,string,False,False,
WOD_2__Shipment_Number__c,Shipment Number,string,False,False,
WOD_2__Source_Claim__c,Source Claim,reference,False,False,
WOD_2__Work_Package_Headers__c,Work Package Headers,textarea,False,False,
WOD_2__Repair_Name__c,Repair Name,string,False,False,
twodcms__Member_Template_Association__c,Member Template Association,reference,False,False,
twodsrm__Is_NotEligible_For_Recovery_Claim__c,NotEligible For Recovery Claim,boolean,True,False,
twodsrm__SR_Claim_Message__c,SR Claim Message,textarea,False,False,
twodsrm__SR_Claim_Status__c,SR Claim Status,picklist,False,False,"Created, Not Created"
twodsrm__SR_Currency__c,SR Currency,picklist,False,False,"CAD, EUR, INR, USD, AUD, THB, GBP, FRF, DEM, PES, CNY, KRW, DM, PHP, IDR, JPY, NZD, PLN"
Agreement_Number__c,Agreement Number,string,False,False,
Allow_Secondary_Failure_Information__c,Allow Secondary Failure Information,boolean,True,False,
Appeal_Comment__c,Appeal Comments,textarea,False,False,
Approver__c,Approver,string,False,False,
Assembly__c,Assembly,string,False,False,
Attachment_Required__c,Attachment Required,boolean,True,False,
Audit_Comments__c,Audit Comments,textarea,False,False,
Audit_Date__c,Audit Date,date,False,False,
Audit_Result__c,Audit Result,picklist,False,False,"Ok, Minor Problem, Nok"
Audit_Type_Other__c,Audit Type Other,string,False,False,
Audit_Type__c,Audit Type,picklist,False,False,"SOX, Entrustment, Others"
Auditor_Name__c,Auditor Name,reference,False,False,
AzureFolderName__c,AzureFolderName,string,False,False,
Business_Unit_Text__c,Business Unit Text,string,False,False,
Claim_Short_Description__c,Claim Short Description,string,False,False,
Claim_Subtype__c,Claim Sub Type,picklist,False,False,"Standard, Extended, Goodwill, Stock, Commercial, Mandatory, Technical Bulletin, Part"
Default_Value__c,Default Value,string,False,False,
Defect_Description__c,Defect Description,textarea,False,False,
Exceptionally_Being_Accepted__c,Exceptionally Being Accepted,boolean,True,False,
Exchange_Rate__c,Exchange Rate,double,False,False,
External_Causal_Part_Desc__c,External Causal Part Description,textarea,False,False,
External_Causal_Part__c,External Causal Part,string,False,False,
Failure_Age_In_Days__c,Failure Age In Days,double,False,False,
Failure_Age__c,Failure Age,string,False,False,
Final_Requested_Amount__c,Final Requested Amount,currency,False,False,
Flow_Usage_Validation__c,Flow Usage Validation,boolean,True,False,
Goodwill_Comments__c,Goodwill Comments,textarea,False,False,
Horse_Power__c,Engine Power (kW),double,False,False,
IsFetchJobCodeSuccess__c,IsFetchJobCodeSuccess,boolean,True,False,
Is_Appeal__c,Is Appeal,boolean,True,False,
Is_Appearance_Quality_Defect__c,Is Appearance Quality Defect,boolean,True,False,
Is_Claim_Audited__c,Is Claim Audited,boolean,True,False,
Is_Commercial__c,Commercial,boolean,True,False,
Labor_Hours_Upper_Limit__c,Labor Hours Upper Limit,double,False,False,
MIG_Equipment_Number__c,MIG Equipment Number,string,False,False,
MIG_Vin_Number__c,MIG Vin Number,string,False,False,
Machine_Age_Limit__c,Machine Age Limit (Days),double,False,False,
Machine_Repaired_AT__c,Machine Repaired AT,picklist,False,False,"DealerShip, End Customer, Other"
Misc_Upper_Limit__c,Misc Upper Limit,double,False,False,
Months_Covered__c,Months Covered,double,False,False,
Months_From_Campaign_Start_Date__c,Months From Service Bulletin Start Date,double,False,False,
Others__c,Others,textarea,False,False,
Partially_Approved__c,Partially Approved,boolean,True,False,
Quality_Defect__c,Quality Defect,picklist,False,False,"NO, RUST, COLOR FINISH DEGRADATION"
Quality_of_Claim_Submission__c,Quality of Claim Submission,picklist,False,False,"1, 2, 3, 4, 5"
Registration_Fee__c,Registration Fee,currency,False,False,
Remedy_Code__c,Remedy Code,reference,False,False,
Service_Bulletin_Number__c,Service Bulletin Number,string,False,False,
Service_Campaign_Travel_Covered__c,Campaign Travel Covered,boolean,True,False,
Sub_Assembly_Field__c,Sub Assembly,reference,False,False,
Symptom_Code__c,Symptom Code (Kverneland only),reference,False,False,
Ticket_Number__c,KITS Ticket Number (Kubota Only),string,False,False,
Tr_Defect_Description__c,English Defect Description,textarea,False,False,
Tractor_Model__c,Tractor Model,string,False,False,
Usage_Covered__c,Usage Covered,double,False,False,
Usage_Limit__c,Usage Limit,double,False,False,
Claim_Amount_In_EURO__c,Claim Amount In EURO,double,False,False,
Is_Servicing_Or_Original_Dealer__c,Is Servicing Or Original Dealer,boolean,True,False,
Machine_Age__c,Machine Age,double,False,False,
DEERE_S_COST_EUR__c,DEERE'S COST  (EUR),double,False,False,
External_Approved_Amount__c,External Approved Amount,double,False,False,
External_Claim_Status__c,External Claim Status,string,False,False,
Failure_to_Submitted_Date__c,Failure to Submitted Date,double,False,False,
Repair_to_Submit_Date__c,Repair to Submit Date,double,False,False,
is_TMH__c,is_TMH,boolean,True,False,
WOD_2__Policy_Type__c,Policy Preference,picklist,False,False,"Machine Policy, Part Policy"
WOD_2__Require_Recalc_Summary__c,Is Claim Financial Edited,boolean,True,False,
Account__c,Account,string,False,False,
Approved_Amount__c,Approved Amount,currency,False,False,
Bulletin_Number__c,Bulletin Number,string,False,False,
Campaign_Labour_Covered__c,Campaign Labour Covered,boolean,True,False,
Dealer_Number__c,Dealer Number,string,False,False,
Division__c,Division,string,False,False,
EDI_Claim_Type_Code__c,EDI Claim Type Code,double,False,False,
EDI_Resubmit__c,EDI Resubmit,double,False,False,
EDI_Status__c,EDI Status,picklist,False,False,"null, Insert, Update, Delete"
EDI_Supplier_Code__c,EDI Supplier Code,string,False,False,
EDI_Supplier_Name__c,EDI Supplier Name,string,False,False,
Exceptionally_Being_Accepted_Comments__c,Exceptionally Being Accepted Comments,textarea,False,False,
External_Dealer_Name__c,External Dealer Name,string,False,False,
FactoryPartReturnPending__c,Factory Part Return Pending,boolean,True,False,
Factory_Amount__c,Factory Amount,currency,False,False,
Is_Mandatory_Campaign__c,Is Mandatory Campaign,boolean,True,False,
Is_Vehicle_Type_Needed__c,Is Vehicle Type Needed,boolean,True,False,
MIG_Comments__c,MIG Comments,textarea,False,False,
MIG_Credit_Memo__c,MIG Credit Memo,string,False,False,
MIG_Debit_Memo__c,MIG Debit Memo,string,False,False,
MIG_Defect__c,MIG Defect,string,False,False,
MIG_PaidOnDate__c,MIG PaidOnDate,date,False,False,
MIG_Remedy__c,MIG Remedy,string,False,False,
MIG_Symptom__c,MIG Symptom,string,False,False,
MIG_Total_Approved_Amount__c,MIG Total Approved Amount,currency,False,False,
MIG_Z9_QM_Notification__c,MIG Z9 QM Notification,string,False,False,
Part_Claim_Sub_Type__c,Part Claim Sub-Type,picklist,False,False,"Service parts, Replacement Parts"
Responsible_of_the_Defect__c,Defect responsability,picklist,False,False,"Production failure(assembly), Supplier failure, Design failure, GoodWill, Other"
Retrigger_Request__c,Retrigger Request,boolean,True,False,
Sales_Company_Text__c,Sales Company Text,string,False,False,
Sales_Company__c,Account Number,string,False,False,
Sent_To_EDI_Date__c,Sent To EDI Date,date,False,False,
Sent_To_EDI__c,Sent To EDI,boolean,True,False,
Supplier__c,Supplier,reference,False,False,
campaignType__c,campaignType,string,False,False,
purchase_Date_plus_6__c,purchase Date plus 6,date,False,False,
EDI_Type__c,EDI Type,double,False,False,
CNH_Comments__c,CNH Comments,textarea,False,False,
CNH_Payment_Date__c,CNH Payment Date,date,False,False,
Campaign_Incentive__c,Campaign Incentive,currency,False,False,
Causal_Part__c,Causal Part #,string,False,False,
Check_High_Price__c,Check High Price,boolean,True,False,
Created_Date__c,Created Date,string,False,False,
Credit_Memo_Request__c,Credit Memo Request,string,False,False,
Credit_Note__c,Credit Note,string,False,False,
Debit_Memo_Request__c,Debit Memo Request,string,False,False,
Debit_Note__c,Debit Note,string,False,False,
Debit_Request__c,Debit Request,string,False,False,
Exceptionally_Apporved__c,Exceptionally Approved,boolean,True,False,
Exceptionally_Approved_Comments__c,Exceptionally Approved Comments,textarea,False,False,
Factory_Code__c,Factory Code,string,False,False,
Factory_Response_Message_KVG_Only__c,Factory Response Message (KVG Only),textarea,False,False,
Factory_Response_Status__c,Factory Response Status (KVG Only),string,False,False,
Factory__c,Factory,reference,False,False,
MIG_CMR_Date__c,MIG CMR Date,date,False,False,
MIG_DMR_Date__c,MIG DMR Date,date,False,False,
MIG_Defect_Group__c,MIG Defect Group,string,False,False,
MIG_Defect_Responsability__c,MIG Defect Responsability,string,False,False,
MIG_Remedy_Group__c,MIG Remedy Group,string,False,False,
MIG_Symptom_Group__c,MIG Symptom Group,string,False,False,
MIG_User_Status__c,MIG User Status,string,False,False,
Months_Covered_from_Warranty_Start_Date__c,Months Covered from Warranty Start Date,double,False,False,
Report_Message__c,Report Message,textarea,False,False,
Report_Status__c,Report Status,picklist,False,False,"Created, Not Created"
Response_Message__c,Response Message,textarea,False,False,
Response_Status__c,Response Status,string,False,False,
SAP_Response_Message__c,SAP Response Message,textarea,False,False,
SAP_Response_Status__c,SAP Response Status,string,False,False,
Sales_Company_Account__c,Sales Company,reference,False,False,
Sales_Company_Mismatch__c,Sales Company Mismatch,boolean,True,False,
Vendor_Judgement__c,VNOR,boolean,True,False,
Warranty_Start_Date__c,Warranty Start Date,date,False,False,
Credit_Debit_Memo_Request_Date__c,Credit Debit Memo Request Date,date,False,False,
MIG_Claim_adjudicator__c,MIG Claim adjudicator,string,False,False,
MIG_Judgment_Date__c,MIG Judgment Date,date,False,False,
MIG_Notification_Type__c,MIG Notification Type,string,False,False,
Memo_History_Count__c,Memo History Count,double,False,False,
PO_Number__c,PO Number,string,False,False,
