Name,VRM_Category__c,VRM_SubCategory__c,VRM_Failure_Resolution_Code__c,WOD_2__Status__c,VRM_External_Id__c
FaultCode54,Ancillary,Ring Lock Fittings,Insufficient Clamping Force-Replace Component-2hr,Active,Ancillary-Ring Lock Fittings-Insufficient Clamping Force-Replace Component-2hr
FaultCode55,Ancillary,Ring Lock Fittings,Mis-manufactured-Replace Component-2hr,Active,Ancillary-Ring Lock Fittings-Mis-manufactured-Replace Component-2hr
FaultCode56,Ancillary,Ring Lock Fittings,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Ring Lock Fittings-Other - Fill in Comments-Replace Component-1hr
FaultCode57,Ancillary,Ring Lock Fittings,Part Dimensions Incorrect-Replace Component-2hr,Active,Ancillary-Ring Lock Fittings-Part Dimensions Incorrect-Replace Component-2hr
FaultCode58,Ancillary,Ring Lock Fittings,Shipment Damage-Replace Component-0hr,Active,Ancillary-Ring Lock Fittings-Shipment Damage-Replace Component-0hr
FaultCode59,Ancillary,Ring Lock Fittings,Ultraviolet Degradation-Replace Component-2hr,Active,Ancillary-Ring Lock Fittings-Ultraviolet Degradation-Replace Component-2hr
FaultCode60,Ancillary,Soft Starters,Signal Weak-Replace Component-2hr,Active,Ancillary-Soft Starters-Signal Weak-Replace Component-2hr
FaultCode61,Ancillary,Soft Starters,Electrical Component Failure-Replace Component-2hr,Active,Ancillary-Soft Starters-Electrical Component Failure-Replace Component-2hr
FaultCode62,Ancillary,Soft Starters,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Soft Starters-Other - Fill in Comments-Replace Component-1hr
FaultCode63,Ancillary,Steel Tubing,Dent in Pipe-Replace Component-1hr,Active,Ancillary-Steel Tubing-Dent in Pipe-Replace Component-1hr
FaultCode64,Ancillary,Steel Tubing,Finish Appearance Faulty-Replace Component-1hr,Active,Ancillary-Steel Tubing-Finish Appearance Faulty-Replace Component-1hr
FaultCode65,Ancillary,Steel Tubing,Flanges not Square-Replace Component-1hr,Active,Ancillary-Steel Tubing-Flanges not Square-Replace Component-1hr
FaultCode66,Ancillary,Steel Tubing,Flanges Out of Time-Replace Component-1hr,Active,Ancillary-Steel Tubing-Flanges Out of Time-Replace Component-1hr
FaultCode67,Ancillary,Steel Tubing,Galvanizing Bare Spots-Replace Component-1hr,Active,Ancillary-Steel Tubing-Galvanizing Bare Spots-Replace Component-1hr
FaultCode68,Ancillary,Steel Tubing,Galvanizing Quality-Replace Component-1hr,Active,Ancillary-Steel Tubing-Galvanizing Quality-Replace Component-1hr
FaultCode69,Ancillary,Steel Tubing,Hitch ball bolt failed-Replace Component-1hr,Active,Ancillary-Steel Tubing-Hitch ball bolt failed-Replace Component-1hr
FaultCode70,Ancillary,Steel Tubing,Hole in Pipe-Replace Component-1hr,Active,Ancillary-Steel Tubing-Hole in Pipe-Replace Component-1hr
FaultCode71,Ancillary,Steel Tubing,Mis-manufactured-Replace Component-1hr,Active,Ancillary-Steel Tubing-Mis-manufactured-Replace Component-1hr
FaultCode72,Ancillary,Steel Tubing,Seam Split-Replace Component-1hr,Active,Ancillary-Steel Tubing-Seam Split-Replace Component-1hr
FaultCode73,Ancillary,Steel Tubing,Seam Split-Weld In Field-1hr,Active,Ancillary-Steel Tubing-Seam Split-Weld In Field-1hr
FaultCode74,Ancillary,Steel Tubing,Shipment Damage-Replace Component-0hr,Active,Ancillary-Steel Tubing-Shipment Damage-Replace Component-0hr
FaultCode75,Ancillary,Steel Tubing,Galvanizing Excessive-Replace Component-1hr,Active,Ancillary-Steel Tubing-Galvanizing Excessive-Replace Component-1hr
FaultCode76,Ancillary,Steel Tubing,Hole in Pipe-Weld In Field-1hr,Active,Ancillary-Steel Tubing-Hole in Pipe-Weld In Field-1hr
FaultCode77,Ancillary,Steel Tubing,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Steel Tubing-Other - Fill in Comments-Replace Component-1hr
FaultCode78,Ancillary,Steel Tubing,Part Dimensions Incorrect-Replace Component-1hr,Active,Ancillary-Steel Tubing-Part Dimensions Incorrect-Replace Component-1hr
FaultCode79,Ancillary,Steel Tubing,Weld Failure-Replace Component-1hr,Active,Ancillary-Steel Tubing-Weld Failure-Replace Component-1hr
FaultCode80,Ancillary,Steel Tubing,Weld Failure-Weld In Field-1hr,Active,Ancillary-Steel Tubing-Weld Failure-Weld In Field-1hr
FaultCode81,Ancillary,Steel Tubing,Weld Missing-Replace Component-1hr,Active,Ancillary-Steel Tubing-Weld Missing-Replace Component-1hr
FaultCode82,Ancillary,Steel Tubing,Weld Missing-Repair Component-1hr,Active,Ancillary-Steel Tubing-Weld Missing-Repair Component-1hr
FaultCode83,Ancillary,Steel Tubing,Hose Pulled off-Replace Component-2hr,Active,Ancillary-Steel Tubing-Hose Pulled off-Replace Component-2hr
FaultCode84,Ancillary,Steel Tubing,Hose Split-Replace Component-2hr,Active,Ancillary-Steel Tubing-Hose Split-Replace Component-2hr
FaultCode85,Ancillary,Steel Tubing,Insufficient Clamping Force-Replace Component-2hr,Active,Ancillary-Steel Tubing-Insufficient Clamping Force-Replace Component-2hr
FaultCode86,Ancillary,Steel Tubing,Plug Removal-Remove Plugs-2hr,Active,Ancillary-Steel Tubing-Plug Removal-Remove Plugs-2hr
FaultCode87,Ancillary,Steel Tubing,Ultraviolet Degradation-Replace Component-2hr,Active,Ancillary-Steel Tubing-Ultraviolet Degradation-Replace Component-2hr
FaultCode88,Ancillary,Variable Frequency Drives,Other -- Fill in Comments-Replace Component-1hr,Active,Ancillary-Variable Frequency Drives-Other - Fill in Comments-Replace Component-1hr
FaultCode89,Ancillary,Variable Frequency Drives,Shipment Damage-Replace Component-0hr,Active,Ancillary-Variable Frequency Drives-Shipment Damage-Replace Component-0hr
FaultCode90,Ancillary,Variable Frequency Drives,Mis-manufactured-Replace Component-1hr,Active,Ancillary-Variable Frequency Drives-Mis-manufactured-Replace Component-1hr
FaultCode91,Control Technology,AgSense,Communication Failure-Replace Component-1hr,Active,Control Technology-AgSense-Communication Failure-Replace Component-1hr
FaultCode92,Control Technology,AgSense,Electrical Component Failure-Replace Component-1hr,Active,Control Technology-AgSense-Electrical Component Failure-Replace Component-1hr
FaultCode93,Control Technology,AgSense,Other -- Fill in Comments-Replace Component-1hr,Active,Control Technology-AgSense-Other - Fill in Comments-Replace Component-1hr
FaultCode94,Control Technology,AgSense,Part Dimensions Incorrect-Replace Component-1hr,Active,Control Technology-AgSense-Part Dimensions Incorrect-Replace Component-1hr
FaultCode95,Control Technology,AgSense,Shipment Damage-Replace Component-0hr,Active,Control Technology-AgSense-Shipment Damage-Replace Component-0hr
FaultCode96,Control Technology,Complete Control Panels,Shipment Damage-Replace Component-0hr,Active,Control Technology-Complete Control Panels-Shipment Damage-Replace Component-0hr
FaultCode97,Control Technology,Complete Control Panels,5 Volt Power Supply-Replace Component-1hr,Active,Control Technology-Complete Control Panels-5 Volt Power Supply-Replace Component-1hr
FaultCode98,Control Technology,Complete Control Panels,Backlight Failure-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Backlight Failure-Replace Component-1hr
FaultCode99,Control Technology,Complete Control Panels,Calibration changed/out of spec-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Calibration changed/out of spec-Replace Component-1hr
FaultCode100,Control Technology,Complete Control Panels,Cold Solder Joint-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Cold Solder Joint-Replace Component-1hr
FaultCode101,Control Technology,Complete Control Panels,Communication Failure-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Communication Failure-Replace Component-1hr
FaultCode102,Control Technology,Complete Control Panels,Contact Points Burned-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Contact Points Burned-Replace Component-1hr
FaultCode103,Control Technology,Complete Control Panels,Contactor not pulling in-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Contactor not pulling in-Replace Component-1hr
FaultCode104,Control Technology,Complete Control Panels,Display Failure-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Display Failure-Replace Component-1hr
FaultCode105,Control Technology,Complete Control Panels,Electrical Specs Not Met-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Electrical Specs Not Met-Replace Component-1hr
FaultCode106,Control Technology,Complete Control Panels,Encoder Failure-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Encoder Failure-Replace Component-1hr
FaultCode107,Control Technology,Complete Control Panels,External Connection Failure-Replace Component-1hr,Active,Control Technology-Complete Control Panels-External Connection Failure-Replace Component-1hr
FaultCode108,Control Technology,Complete Control Panels,Harness Failure-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Harness Failure-Replace Component-1hr
FaultCode109,Control Technology,Complete Control Panels,Keypad Failure-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Keypad Failure-Replace Component-1hr
FaultCode110,Control Technology,Complete Control Panels,Leads corroded/broken-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Leads corroded/broken-Replace Component-1hr
FaultCode111,Control Technology,Complete Control Panels,Other -- Fill in Comments-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Other - Fill in Comments-Replace Component-1hr
FaultCode112,Control Technology,Complete Control Panels,PCB Cracked-Replace Component-1hr,Active,Control Technology-Complete Control Panels-PCB Cracked-Replace Component-1hr
FaultCode113,Control Technology,Complete Control Panels,Percent timer runs at 100% at all times-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Percent timer runs at 100% at all times-Replace Component-1hr
FaultCode114,Control Technology,Complete Control Panels,Pressure Reading Incorrect-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Pressure Reading Incorrect-Replace Component-1hr
FaultCode115,Control Technology,Complete Control Panels,Relay Failure-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Relay Failure-Replace Component-1hr
FaultCode116,Control Technology,Complete Control Panels,Screen Failure-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Screen Failure-Replace Component-1hr
FaultCode117,Control Technology,Complete Control Panels,Trace Failure-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Trace Failure-Replace Component-1hr
FaultCode118,Control Technology,Complete Control Panels,Voltage Display Inconsistent-Replace Component-1hr,Active,Control Technology-Complete Control Panels-Voltage Display Inconsistent-Replace Component-1hr
FaultCode119,Control Technology,Control Panel Options,Cable End Failure-Replace Component-1hr,Active,Control Technology-Control Panel Options-Cable End Failure-Replace Component-1hr
FaultCode120,Control Technology,Control Panel Options,Calibration changed/out of spec-Replace Component-1hr,Active,Control Technology-Control Panel Options-Calibration changed/out of spec-Replace Component-1hr
FaultCode121,Control Technology,Control Panel Options,Contact Points Burned-Replace Component-1hr,Active,Control Technology-Control Panel Options-Contact Points Burned-Replace Component-1hr
FaultCode122,Control Technology,Control Panel Options,Contactor Chattering-Replace Component-1hr,Active,Control Technology-Control Panel Options-Contactor Chattering-Replace Component-1hr
FaultCode123,Control Technology,Control Panel Options,Contactor Locked in-Replace Component-1hr,Active,Control Technology-Control Panel Options-Contactor Locked in-Replace Component-1hr
FaultCode124,Control Technology,Control Panel Options,Contactor not pulling in-Replace Component-1hr,Active,Control Technology-Control Panel Options-Contactor not pulling in-Replace Component-1hr
FaultCode125,Control Technology,Control Panel Options,Electrical Component Failure-Replace Component-1hr,Active,Control Technology-Control Panel Options-Electrical Component Failure-Replace Component-1hr
FaultCode126,Control Technology,Control Panel Options,Electrical Specs Not Met-Replace Component-1hr,Active,Control Technology-Control Panel Options-Electrical Specs Not Met-Replace Component-1hr
FaultCode127,Control Technology,Control Panel Options,Excessive Steering-Replace Component-1.5hr,Active,Control Technology-Control Panel Options-Excessive Steering-Replace Component-1.5hr
FaultCode128,Control Technology,Control Panel Options,Fuse Block Defective-Replace Component-1hr,Active,Control Technology-Control Panel Options-Fuse Block Defective-Replace Component-1hr
FaultCode129,Control Technology,Control Panel Options,Grounding Block Defective-Replace Component-1hr,Active,Control Technology-Control Panel Options-Grounding Block Defective-Replace Component-1hr
FaultCode130,Control Technology,Control Panel Options,Housing Damaged-Replace Component-1hr,Active,Control Technology-Control Panel Options-Housing Damaged-Replace Component-1hr
FaultCode131,Control Technology,Control Panel Options,Inconsistent Position-Replace Component-1hr,Active,Control Technology-Control Panel Options-Inconsistent Position-Replace Component-1hr
FaultCode132,Control Technology,Control Panel Options,Incorrect Resistance Reading-Replace Component-1hr,Active,Control Technology-Control Panel Options-Incorrect Resistance Reading-Replace Component-1hr
FaultCode133,Control Technology,Control Panel Options,Intermittent Operations-Replace Component-1hr,Active,Control Technology-Control Panel Options-Intermittent Operations-Replace Component-1hr
FaultCode134,Control Technology,Control Panel Options,Leads corroded/broken-Replace Component-1hr,Active,Control Technology-Control Panel Options-Leads corroded/broken-Replace Component-1hr
FaultCode135,Control Technology,Control Panel Options,Other -- Fill in Comments-Replace Component-1hr,Active,Control Technology-Control Panel Options-Other - Fill in Comments-Replace Component-1hr
FaultCode136,Control Technology,Control Panel Options,Resolver Input Error-Replace Component-1hr,Active,Control Technology-Control Panel Options-Resolver Input Error-Replace Component-1hr
FaultCode137,Control Technology,Control Panel Options,Resolver Volts Incorrect-Replace Component-1hr,Active,Control Technology-Control Panel Options-Resolver Volts Incorrect-Replace Component-1hr
FaultCode138,Control Technology,Control Panel Options,Shipment Damage-Replace Component-0hr,Active,Control Technology-Control Panel Options-Shipment Damage-Replace Component-0hr
FaultCode139,Control Technology,Control Panel Options,Signal Weak-Replace Component-1hr,Active,Control Technology-Control Panel Options-Signal Weak-Replace Component-1hr
FaultCode140,Control Technology,Control Panel Options,Won't Break Safety-Replace Component-1hr,Active,Control Technology-Control Panel Options-Won't Break Safety-Replace Component-1hr
FaultCode141,Control Technology,Control Panel Options,Won't Hold Safety-Replace Component-1hr,Active,Control Technology-Control Panel Options-Won't Hold Safety-Replace Component-1hr
FaultCode142,Control Technology,Control Panel Options,Won't Steer Forward-Replace Component-1.5hr,Active,Control Technology-Control Panel Options-Won't Steer Forward-Replace Component-1.5hr
FaultCode143,Control Technology,Control Panel Options,Won't Steer Reverse-Replace Component-1.5hr,Active,Control Technology-Control Panel Options-Won't Steer Reverse-Replace Component-1.5hr
FaultCode144,Control Technology,Control Panel Repair,Cable End Failure-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Cable End Failure-Replace Component-1hr
FaultCode145,Control Technology,Control Panel Repair,Calibration changed/out of spec-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Calibration changed/out of spec-Replace Component-1hr
FaultCode146,Control Technology,Control Panel Repair,Contact Points Burned-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Contact Points Burned-Replace Component-1hr
FaultCode147,Control Technology,Control Panel Repair,Contactor Chattering-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Contactor Chattering-Replace Component-1hr
FaultCode148,Control Technology,Control Panel Repair,Contactor Locked in-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Contactor Locked in-Replace Component-1hr
FaultCode149,Control Technology,Control Panel Repair,Contactor not pulling in-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Contactor not pulling in-Replace Component-1hr
FaultCode150,Control Technology,Control Panel Repair,Electrical Component Failure-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Electrical Component Failure-Replace Component-1hr
FaultCode151,Control Technology,Control Panel Repair,Electrical Specs Not Met-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Electrical Specs Not Met-Replace Component-1hr
FaultCode152,Control Technology,Control Panel Repair,Excessive Steering-Replace Component-1.5hr,Active,Control Technology-Control Panel Repair-Excessive Steering-Replace Component-1.5hr
FaultCode153,Control Technology,Control Panel Repair,Fuse Block Defective-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Fuse Block Defective-Replace Component-1hr
FaultCode154,Control Technology,Control Panel Repair,Grounding Block Defective-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Grounding Block Defective-Replace Component-1hr
FaultCode155,Control Technology,Control Panel Repair,Housing Damaged-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Housing Damaged-Replace Component-1hr
FaultCode156,Control Technology,Control Panel Repair,Inconsistent Position-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Inconsistent Position-Replace Component-1hr
FaultCode157,Control Technology,Control Panel Repair,Incorrect Resistance Reading-Replace Component-1.5hr,Active,Control Technology-Control Panel Repair-Incorrect Resistance Reading-Replace Component-1.5hr
FaultCode158,Control Technology,Control Panel Repair,Intermittent Operations-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Intermittent Operations-Replace Component-1hr
FaultCode159,Control Technology,Control Panel Repair,Leads corroded/broken-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Leads corroded/broken-Replace Component-1hr
FaultCode160,Control Technology,Control Panel Repair,Other -- Fill in Comments-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Other - Fill in Comments-Replace Component-1hr
FaultCode161,Control Technology,Control Panel Repair,Resolver Input Error-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Resolver Input Error-Replace Component-1hr
FaultCode162,Control Technology,Control Panel Repair,Resolver Volts Incorrect-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Resolver Volts Incorrect-Replace Component-1hr
FaultCode163,Control Technology,Control Panel Repair,Shipment Damage-Replace Component-0hr,Active,Control Technology-Control Panel Repair-Shipment Damage-Replace Component-0hr
FaultCode164,Control Technology,Control Panel Repair,Signal Weak-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Signal Weak-Replace Component-1hr
FaultCode165,Control Technology,Control Panel Repair,Won't Break Safety-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Won't Break Safety-Replace Component-1hr
FaultCode166,Control Technology,Control Panel Repair,Won't Hold Safety-Replace Component-1hr,Active,Control Technology-Control Panel Repair-Won't Hold Safety-Replace Component-1hr
FaultCode167,Control Technology,Control Panel Repair,Won't Steer Forward-Replace Component-1.5hr,Active,Control Technology-Control Panel Repair-Won't Steer Forward-Replace Component-1.5hr
FaultCode168,Control Technology,Control Panel Repair,Won't Steer Reverse-Replace Component-1.5hr,Active,Control Technology-Control Panel Repair-Won't Steer Reverse-Replace Component-1.5hr
FaultCode169,Control Technology,Control Panel Upgrades,Cable End Failure-Replace Component-1hr,Active,Control Technology-Control Panel Upgrades-Cable End Failure-Replace Component-1hr
FaultCode170,Control Technology,Control Panel Upgrades,Calibration changed/out of spec-Replace Component-1hr,Active,Control Technology-Control Panel Upgrades-Calibration changed/out of spec-Replace Component-1hr
FaultCode171,Control Technology,Control Panel Upgrades,Contact Points Burned-Replace Component-1hr,Active,Control Technology-Control Panel Upgrades-Contact Points Burned-Replace Component-1hr
FaultCode172,Control Technology,Control Panel Upgrades,Contactor Chattering-Replace Component-1hr,Active,Control Technology-Control Panel Upgrades-Contactor Chattering-Replace Component-1hr
FaultCode173,Control Technology,Control Panel Upgrades,Contactor Locked in-Replace Component-1hr,Active,Control Technology-Control Panel Upgrades-Contactor Locked in-Replace Component-1hr
FaultCode174,Control Technology,Control Panel Upgrades,Contactor not pulling in-Replace Component-1hr,Active,Control Technology-Control Panel Upgrades-Contactor not pulling in-Replace Component-1hr
FaultCode175,Control Technology,Control Panel Upgrades,Electrical Component Failure-Replace Component-1hr,Active,Control Technology-Control Panel Upgrades-Electrical Component Failure-Replace Component-1hr
FaultCode176,Control Technology,Control Panel Upgrades,Electrical Specs Not Met-Replace Component-1hr,Active,Control Technology-Control Panel Upgrades-Electrical Specs Not Met-Replace Component-1hr
